"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltS74F80",2003,55.380035,62.412296,65.74157,61.144444,60.267494,73.87338,73.90091,73.58416,79.993256,80.03946,83.6392,68.652016
"AltS74F80",2004,60.590744,53.54301,56.402637,67.141945,77.49035,80.25508,73.99583,73.62215,79.455635,80.050934,85.45325,76.344826
"AltS74F80",2005,59.63802,60.942585,58.671036,62.878624,58.028698,64.70969,79.79752,86.62137,89.12786,91.62515,91.53697,56.495026
"AltS74F80",2006,52.332798,54.690266,52.495693,52.189377,56.166286,69.42603,73.98011,73.92359,78.936424,79.91705,83.75297,74.95365
"AltS74F80",2007,78.9284,68.57491,69.71999,76.234566,78.61589,82.00267,82.26783,86.57298,90.72998,92.47546,92.38976,89.32272
"AltS74F80",2008,67.66644,63.451347,69.162094,76.42319,79.9006,82.59022,86.15095,90.39773,92.37478,92.51693,92.14302,90.017685
"AltS74F80",2009,87.703186,68.91686,63.111786,67.91257,77.245575,80.47612,83.93415,88.7261,91.732704,92.0604,92.78098,91.15008
"AltS74F80",2010,68.13576,60.7706,64.954926,62.905342,65.4918,74.97632,83.12521,86.13607,87.87627,84.742004,83.99596,56.847275
"AltS74F80",2011,59.00832,57.965656,52.46594,56.263546,58.05227,60.45745,72.94796,73.96558,78.24938,79.902306,83.88618,88.93217
"AltS74F80",2012,85.22402,81.193695,69.22963,65.66751,72.272194,81.091484,82.05103,86.136185,89.68501,91.803566,90.454384,58.50244
"AltS74F80",2013,63.884792,67.82078,76.20859,79.2003,79.560585,82.21447,85.89598,90.31059,92.11301,92.151344,92.02066,89.96067
"AltS74F80",2014,89.50117,81.35582,73.14932,78.41072,86.6352,90.40041,93.22299,93.42542,92.8221,93.811485,93.77747,63.954353
