"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltNoX2",2011,-4516.12903225806,-1764.21187350454,2636.27003879011,-3823.98565399243,-1198.22641196635,-5000,-9689.75667864344,-9783.45159567197,-8821.80041353073,-8894.99017872082,-9369.23363855064,-5611.02493897761
"AltNoX2",2012,-5000,-4433.2554187549,-3935,-2066.0430684312,-2324.96664922497,-5000,-11243.2033115464,-10796.6049722229,-6610.33567400242,-6351.91908925638,-5881.73482421279,-5290.32258064516
"AltNoX2",2013,-4516.12903225806,-4475,-3500,-1879.33753428996,-2579.87326737021,-5000,-7863.69225425799,-5019.49065932662,-5317.24874784929,-2250.86989282225,-2427.94277746129,-2704.16560561456
"AltNoX2",2014,-873.224165028774,-3453.20256613693,-4625,-1345.11608060719,-1606.14508007873,-1768.63060290334,-2237.63936930378,-2644.32007537248,-3287.74547016298,-2579.45582765077,-1636.15218133232,-5290.32258064516
"AltS74",1995,-3645.16129032258,-4464.28571428572,-3377.43246763748,-3995,135.857026908168,-4248.38010920812,-9074.58059248556,-7541.00923457436,-9381.51392850044,-9969.71996745672,-9776.93384517563,-5290.32258064516
"AltS74",1996,-4516.12903225806,-4048.27586206897,-3500,-1031.00592579263,-1320.46286111094,-4900.01773759642,-7681.74116069961,-11310.8350512834,-9662.96866284196,-8339.21409270548,-8684.104847025,-1957.27626772224
"AltS74",1997,24783.030993275,3337.63737856038,-3500,-1571.58181841562,-2373.20336106632,-4550.02160803702,-10237.2085441218,-10947.7267553309,-5878.3925878258,-8833.1115371481,-8491.36589465503,-5290.32258064516
"AltS74",1998,-4516.12903225806,3683.81941721477,-3500,-2937.58801074677,49.1424075632842,-1970.84973345534,-8168.05631448065,-9430.19134784194,-8150.26397096955,-8850.41013226449,-8776.08445817552,-5290.32258064516
"AltS74",1999,-4516.12903225807,-4033.03571428571,-3500,-2365.41963603624,-2058.54989006973,-4693.80277775755,-7779.24678411879,-11353.6970735867,-8670.93668868185,-7732.41417420998,-7168.89777600068,-4125.38956388965
"AltS74",2000,-3645.16129032258,-4172.41379310345,-3500,-1124.64653641428,-2125.09190825205,-4693.80277775753,-7832.40604382795,-11330.5567578077,-7694.74609968626,-7873.50203045904,-6138.21595314824,-3528.45457245372
"AltS74",2001,-5000,-4316.42857142857,-3935,-2005.81000139915,-2260.54852867915,-2811.57992921258,-4545.57051657102,-3338.06189130255,-4907.70974314649,-3795.1358286754,-5609.90451992038,-5290.32258064516
"AltS74",2002,-4516.12903225806,-4156.25,-3500,-2409.47975968629,-1901.84693887908,-5000,-7001.20087390478,-6824.5896303036,-5240.42973204958,-4075.90686854736,-4738.10799116265,-5290.32258064516
"AltS74",2003,-4516.12903225806,-4033.03571428571,-3500,-2285.30065296606,-1988.21440611286,-4689.4333333128,-9941.77895516742,-11389.6311137227,-7381.66322837311,-4329.83062977696,-6776.73454922795,-5290.32258064516
"AltS74",2004,-4516.12903225806,-4172.41379310345,-3500,-2503.80936848667,-1959.24707330726,-4689.4333333128,-11276.7719725708,-11499.2847325842,-5084.02928238122,-8655.65826980543,-6200.9494954414,-5290.32258064516
"AltS74",2005,-4516.12903225806,-4156.25,-3500,-540.560435176555,-3458.20476105586,-5000,-8687.11013063013,-10861.6017929081,-9886.8451623837,-8206.72367928441,-7674.82650817592,-5290.32258064516
"AltS74",2006,-4516.12903225806,-4464.28571428571,-1933.73148648184,2781.30177809138,4705.78134728278,-4119.14450617355,-7762.49376037584,-7263.53116579302,-8904.94639376161,-9226.20134547923,-9360.47207417724,-5290.32258064516
"AltS74",2007,-5000,-4156.25,-3500,-2164.19093200894,-2488.91970677109,-5000,-11067.9231604202,-10771.5773356331,-5521.69017382717,-4218.59432444157,-3139.23260993866,-3618.0574065102
"AltS74",2008,-3645.16129032258,-4172.41379310345,-3935,-2373.86395386246,-1064.85024937389,-5000,-5765.27570292154,-3610.30713205946,-4450.59199902282,-1984.56888158046,-2350.03838726201,-2678.39798820762
"AltS74",2009,-2458.2037941504,-4427.32142857143,-3935,-2534.84874405121,-1909.93598132469,-5000,-5300.18777193113,-3655.8548882944,-4752.00546032847,-5133.21449609862,-3404.73580578435,-4053.31598534781
"AltS74",2010,-3645.16129032258,-4156.25,-3500,-1588.68304697917,-2046.90523194788,-5000,-9685.16134708498,-10585.777416083,-9120.11831953611,-9410.20781886016,-9108.11350403922,-5290.32258064516
"AltS74",2011,-4516.12903225806,-1806.63856732247,2628.29019130051,-3838.36161219733,-1198.22641196635,-5000,-9696.6492071553,-9571.44489538913,-8516.73129740873,-8900.74231697933,-9374.45153583113,-6163.2382210099
"AltS74",2012,-5000,-4446.59700266508,-3935,-2061.73067182312,-2320.75929582419,-5000,-11285.8430136542,-10832.3118147482,-6651.83932180431,-6364.34603969964,-5876.97547457002,-5290.32258064516
"AltS74",2013,-4516.12903225806,-4475,-3500,-1873.10810402273,-2575.88433041999,-5000,-7210.51406688273,-5264.37505045261,-5283.94021255875,-2255.63315788791,-2382.27074146552,-2727.14639031442
