"month","region","year","sal_AltF74","sal_AltF80","sal_AltNoX2","sal_AltS74","sal_AltS74F80"
1,"NE Suisun",1974,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1975,2.54803905419469,2.64570430101854,2.38403406343752,2.36807126434758,2.66221554925746
1,"NE Suisun",1976,2.70081048859274,2.92365052783439,2.90396563550866,2.99192955616495,2.85049160224501
1,"NE Suisun",1977,2.99468188383793,2.80890093351632,3.19179657954122,2.86121212556361,2.65725859035784
1,"NE Suisun",1978,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1979,1.1151007815616,1.1672313865023,1.17167233759131,1.27349404753509,1.18782163403647
1,"NE Suisun",1980,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1981,1.05895690122931,1.05827731287893,0.680062647110832,0.801534146304407,1.10560971015443
1,"NE Suisun",1982,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1983,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1984,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1985,1.43103331859992,1.34506312125741,1.36701638301625,1.39244228356219,1.4005822428758
1,"NE Suisun",1986,0.425605990066774,0.429250151750114,0.516960341942672,0.426790636927263,0.429141784008767
1,"NE Suisun",1987,2.05663871981782,2.15705868935184,2.51123779332141,2.64472198407882,2.25943163945029
1,"NE Suisun",1988,0.178540435432787,0.193638094244294,0.213901727918987,0.189179077575368,0.191152821462635
1,"NE Suisun",1989,2.69769618876789,2.67825653995244,2.67466738552555,2.67405554827954,2.67767377491686
1,"NE Suisun",1990,1.96712161517258,1.96708101880867,1.95348470330462,1.96169052824632,1.97000583078836
1,"NE Suisun",1991,2.99468188383793,2.98830911645024,2.99922688707745,3.00069690950911,2.99384851987321
1,"NE Suisun",1992,2.03298794617268,2.88135490445946,2.88127701938655,2.88139446487969,2.88175606398595
1,"NE Suisun",1993,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1994,2.45061754387907,2.48142399906234,2.30630620977642,1.7644495114894,2.52524076338949
1,"NE Suisun",1995,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1996,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1997,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1998,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1999,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2000,0.831754880656993,0.566957695579465,0.307842846636621,0.569852640534071,0.922044233072599
1,"NE Suisun",2001,2.12118918398447,2.10414046895074,2.20199540095164,2.24388604943405,2.22148880209643
1,"NE Suisun",2002,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2003,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2004,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2005,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2006,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2007,1.77746568128864,1.78722697815333,1.86612327368052,1.88068388725374,1.79214172446597
1,"NE Suisun",2008,0.446757828245019,0.423777945165774,0.392718967234194,0.424830623851028,0.429282024457075
1,"NE Suisun",2009,2.75132916583657,2.7519945758599,2.75407563951969,2.75173865445068,2.75291228460147
1,"NE Suisun",2010,0.489090850235481,0.488456085889341,0.487684173705023,0.48915356339216,0.488989289872286
1,"NE Suisun",2011,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2012,2.35803703547819,2.55274191649157,2.57537644255437,2.54394762857786,2.49043836348945
1,"NE Suisun",2013,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2014,2.9469291560574,2.92138596810435,2.93928609646936,2.91681350064358,2.93884588031191
1,"NE Suisun",2015,1.37206672155124,1.37201806210489,1.37183410391432,1.37212428186622,1.37214149056764
1,"NE Suisun",2016,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2017,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2018,0.990271258401441,0.981741168447479,1.1189750462144,1.15211384933375,1.01155065978348
1,"NE Suisun",2019,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",2020,0.905723534546786,0.928299945354818,0.915239060489679,0.953783817001508,0.956860578432558
1,"NE Suisun",2021,2.49110573181652,2.47383749714233,2.50129569909671,2.59827000577696,2.49050381476273
1,"NW Suisun",1922,1.31106672478047,1.23163722482379,1.27583853854785,1.27583853854785,1.23163722482379
1,"NW Suisun",1923,0.228086913410204,0.219567974069125,0.201757612492036,0.226969802315889,0.231739321807416
1,"NW Suisun",1924,2.77999946506601,2.77527323256037,2.76435276311197,2.75498798304065,2.78740262926841
